CellCLI> LIST GRIDDISK ATTRIBUTES name, asmmodestatus
	 BANKBU_DBFS01_01_CD_SC01_CEL03	 ONLINE
	 DATA09_CD_07_sc01_cel03       	 ONLINE
	 DATA09_CD_08_sc01_cel03       	 ONLINE
	 DATA09_CD_09_sc01_cel03       	 ONLINE
	 DATA09_CD_10_sc01_cel03       	 ONLINE
	 DATA09_CD_11_sc01_cel03       	 ONLINE
	 DATA10_CD_03_sc01_cel03       	 ONLINE
	 DATA10_CD_04_sc01_cel03       	 ONLINE
	 DATA11_CD_01_sc01_cel03       	 ONLINE
	 DATA11_CD_02_sc01_cel03       	 ONLINE
	 DATA11_CD_03_sc01_cel03       	 ONLINE
	 DATA11_CD_04_sc01_cel03       	 ONLINE
	 DATA11_CD_05_sc01_cel03       	 ONLINE
	 DATA11_CD_06_sc01_cel03       	 ONLINE
	 DATA11_CD_07_sc01_cel03       	 ONLINE
	 DATA11_CD_08_sc01_cel03       	 ONLINE
	 DATA11_CD_11_sc01_cel03       	 ONLINE
	 DATA12_CD_07_sc01_cel03       	 ONLINE
	 DATA13_CD_06_sc01_cel03       	 ONLINE
	 DATA15_CD_03_sc01_cel03       	 ONLINE
	 DATA16_CD_04_sc01_cel03       	 ONLINE
	 DATA16_CD_06_sc01_cel03       	 ONLINE
	 DATA16_CD_11_sc01_cel03       	 ONLINE
	 DATA17_CD_01_sc01_cel03       	 ONLINE
	 DATA17_CD_04_sc01_cel03       	 ONLINE
	 DATA19_CD_01_sc01_cel03       	 ONLINE
	 DATA19_CD_03_sc01_cel03       	 ONLINE
	 DATA19_CD_04_sc01_cel03       	 ONLINE
	 DATA21_CD_00_sc01_cel03       	 ONLINE
	 DATA21_CD_02_sc01_cel03       	 ONLINE
	 DATA22_CD_00_sc01_cel03       	 ONLINE
	 DATA22_CD_05_sc01_cel03       	 ONLINE
	 DATA22_CD_07_sc01_cel03       	 ONLINE
	 DATA23_CD_05_sc01_cel03       	 ONLINE
	 DATA25_CD_01_sc01_cel03       	 ONLINE
	 DATA26_CD_00_sc01_cel03       	 ONLINE
	 DATA26_CD_01_sc01_cel03       	 ONLINE
	 DATA26_CD_02_sc01_cel03       	 ONLINE
	 DATA26_CD_03_sc01_cel03       	 ONLINE
	 DATA26_CD_04_sc01_cel03       	 ONLINE
	 DBFS_C2_CD_02_sc01_cel03      	 ONLINE
	 DBFS_C2_CD_03_sc01_cel03      	 ONLINE
	 DBFS_C2_CD_04_sc01_cel03      	 ONLINE
	 DBFS_C2_CD_05_sc01_cel03      	 ONLINE
	 DBFS_C2_CD_06_sc01_cel03      	 ONLINE
	 DBFS_C2_CD_07_sc01_cel03      	 ONLINE
	 DBFS_C2_CD_08_sc01_cel03      	 ONLINE
	 DBFS_C2_CD_09_sc01_cel03      	 ONLINE
	 DBFS_C2_CD_10_sc01_cel03      	 ONLINE
	 DBFS_C2_CD_11_sc01_cel03      	 ONLINE
	 DBFS_C3_CD_02_sc01_cel03      	 ONLINE
	 DBFS_C3_CD_03_sc01_cel03      	 ONLINE
	 DBFS_C3_CD_04_sc01_cel03      	 ONLINE
	 DBFS_C3_CD_05_sc01_cel03      	 ONLINE
	 DBFS_C3_CD_06_sc01_cel03      	 ONLINE
	 DBFS_C3_CD_07_sc01_cel03      	 ONLINE
	 DBFS_C3_CD_08_sc01_cel03      	 ONLINE
	 DBFS_C3_CD_09_sc01_cel03      	 ONLINE
	 DBFS_C3_CD_10_sc01_cel03      	 ONLINE
	 DBFS_C3_CD_11_sc01_cel03      	 ONLINE
	 OCR_DG01_CD_01_SC01_CEL03     	 ONLINE
	 RECO00_CD_00_sc01_cel03       	 ONLINE
	 RECO00_CD_01_sc01_cel03       	 ONLINE
	 RECO00_CD_02_sc01_cel03       	 ONLINE
	 RECO00_CD_03_sc01_cel03       	 ONLINE
